battery_id,cycle_number,timestamp,avg_voltage,max_voltage,min_voltage,avg_current_charge,avg_current_discharge,avg_temperature,max_temperature,min_temperature,capacity_charge,capacity_discharge,internal_resistance,charge_time_h,discharge_time_h,charge_energy_wh,discharge_energy_wh,coulombic_efficiency,health_score,is_anomaly,anomaly_type
BAT-001,26,2023-01-06T15:38:53,3.6111,4.0363,2.8637,1.6589,-1.6756,26.221,33.474,22.31,2.98953,2.95838,89.424,1.745,1.7811,10.7953,10.6829,98.958,98.61,False,
BAT-001,27,2023-01-06T20:42:12,3.5044,3.9429,2.894,1.7592,-1.5906,23.286,31.271,18.648,2.97376,2.94565,87.66,1.6779,1.9142,10.4212,10.3227,99.055,98.19,False,
BAT-001,28,2023-01-07T00:57:18,3.4663,3.8449,2.85,1.3991,-1.6553,26.202,29.383,24.185,2.96154,2.94415,92.423,2.0273,1.7974,10.2655,10.2053,99.413,98.14,False,
BAT-001,29,2023-01-07T06:28:55,3.6032,4.1076,2.9135,1.719,-1.2201,24.281,27.905,20.767,2.969,2.92947,90.336,1.8339,2.4323,10.6978,10.5554,98.669,97.65,False,
BAT-001,30,2023-01-07T12:31:29,3.5242,4.0702,2.8519,1.3273,-1.5082,26.162,33.583,22.033,2.97109,2.93485,89.993,2.1847,1.8665,10.4706,10.3429,98.78,97.83,False,
BAT-001,31,2023-01-07T17:21:05,3.582,3.961,2.85,1.4507,-1.489,27.066,33.312,22.244,2.95742,2.92934,93.463,1.9821,1.969,10.5934,10.4928,99.051,97.64,False,
BAT-001,32,2023-01-07T22:24:31,3.5282,3.9637,2.856,1.6173,-1.4059,24.23,28.318,20.465,2.97009,2.95181,92.744,1.8319,2.0022,10.479,10.4145,99.385,98.39,False,
BAT-001,33,2023-01-08T03:22:13,3.5627,4.0423,2.8822,1.4581,-1.5937,27.091,32.248,23.213,2.97142,2.95001,90.343,2.0462,1.8534,10.5863,10.5101,99.28,98.33,False,
BAT-001,34,2023-01-08T08:52:30,3.5513,3.9642,2.85,1.5471,-1.2579,26.508,33.718,24.342,2.97525,2.93356,92.781,1.9079,2.2934,10.566,10.4179,98.599,97.79,False,
BAT-001,35,2023-01-08T13:50:09,3.5954,4.0198,3.0147,1.6004,-1.2598,21.078,28.87,16.092,2.97516,2.93864,92.258,1.9813,2.2885,10.6968,10.5655,98.773,97.95,False,
BAT-001,36,2023-01-08T19:38:13,3.478,3.933,2.8952,1.383,-1.6182,27.983,33.763,23.466,2.9429,2.917,93.519,2.3377,1.7381,10.2353,10.1452,99.12,97.23,False,
BAT-001,37,2023-01-09T00:53:06,3.56,3.9401,2.9738,1.7536,-1.2223,23.206,27.667,19.736,2.94125,2.92428,93.771,1.741,2.3908,10.4708,10.4104,99.423,97.48,False,
BAT-001,38,2023-01-09T05:38:35,3.5783,4.0809,3.0167,1.4833,-1.4698,26.564,33.786,23.116,2.95181,2.91268,94.232,2.12,2.0515,10.5624,10.4224,98.674,97.09,False,
BAT-001,39,2023-01-09T11:04:18,3.5194,3.9491,2.85,1.6154,-1.2888,26.935,30.893,24.861,2.95383,2.92206,91.201,1.9915,2.2556,10.3957,10.2839,98.925,97.4,False,
BAT-001,40,2023-01-09T16:16:48,3.5917,4.1381,2.9176,1.5388,-1.5807,26.145,32.749,21.256,2.92606,2.91129,94.605,2.0296,1.9093,10.5095,10.4565,99.495,97.04,False,
BAT-001,41,2023-01-09T20:53:24,3.5977,4.1447,2.9901,1.6669,-1.575,24.979,28.598,22.856,2.96483,2.93722,92.024,1.8971,1.863,10.6667,10.5674,99.069,97.91,False,
BAT-001,42,2023-01-10T02:37:43,3.6176,4.0787,2.9071,1.7624,-1.6113,26.302,31.166,24.156,2.96473,2.92155,95.572,1.6257,1.845,10.7251,10.5689,98.544,97.38,False,
BAT-001,43,2023-01-10T07:40:09,3.6084,4.0053,2.934,1.7291,-1.2023,26.048,32.435,23.96,2.96145,2.92156,91.243,1.7302,2.5262,10.6862,10.5422,98.653,97.39,False,
BAT-001,44,2023-01-10T13:25:59,3.6106,4.0786,2.9812,1.4374,-1.6433,23.99,27.414,20.964,2.94739,2.90805,98.641,2.1687,1.8241,10.6417,10.4997,98.665,96.93,False,
BAT-001,45,2023-01-10T19:25:26,3.551,3.9795,2.85,1.5485,-1.2672,28.177,31.513,25.571,2.94261,2.91613,94.422,1.8104,2.2905,10.4493,10.3552,99.1,97.2,False,
BAT-001,46,2023-01-11T00:58:36,3.5889,3.9958,2.8595,1.4175,-1.3627,26.413,32.061,22.186,2.94975,2.92285,90.709,2.1612,2.1779,10.5864,10.4898,99.088,97.43,False,
BAT-001,47,2023-01-11T06:15:53,3.6219,4.0842,2.9135,1.6919,-1.4192,26.643,34.616,22.619,2.92488,2.90101,95.974,1.8535,2.1264,10.5936,10.5072,99.184,96.7,False,
BAT-001,48,2023-01-11T11:55:34,3.5772,4.0297,2.9406,1.3179,-1.6799,24.48,27.685,21.742,2.93699,2.90612,99.008,2.139,1.7222,10.5062,10.3957,98.949,96.87,False,
BAT-001,49,2023-01-11T17:03:41,3.5464,4.036,2.9549,1.451,-1.3971,26.706,29.715,24.37,2.93334,2.91726,92.845,2.1821,1.984,10.4026,10.3456,99.452,97.24,False,
BAT-001,50,2023-01-11T22:29:23,3.5924,3.9945,2.9779,1.4212,-1.4399,24.366,28.507,21.373,2.92118,2.89705,97.295,2.2394,1.9211,10.4941,10.4074,99.174,96.57,False,
BAT-001,51,2023-01-12T03:50:29,3.4956,3.8474,2.9079,1.3156,-1.2553,22.394,26.602,18.686,2.92769,2.90877,97.111,2.311,2.3981,10.234,10.1679,99.354,96.96,False,
BAT-001,52,2023-01-12T09:03:28,3.5925,3.9933,2.8587,1.5272,-1.5017,28.458,33.265,24.018,2.94364,2.91106,97.187,1.9231,1.9965,10.5749,10.4579,98.893,97.04,False,
BAT-001,53,2023-01-12T14:22:42,3.4855,3.9048,2.9317,1.3827,-1.5626,28.318,35.011,25.366,2.93865,2.91204,97.903,2.3027,1.8811,10.2428,10.15,99.094,97.07,False,
BAT-001,54,2023-01-12T19:15:04,3.5439,3.8947,2.9905,1.7965,-1.4923,25.827,33.314,21.186,2.93672,2.90209,97.202,1.6844,1.9684,10.4073,10.2846,98.821,96.74,False,
BAT-001,55,2023-01-12T23:48:50,3.5654,3.919,2.8962,1.4156,-1.6369,25.883,31.937,22.223,2.9246,2.89294,97.643,2.0854,1.7987,10.4273,10.3144,98.917,96.43,False,
BAT-001,56,2023-01-13T05:17:11,3.544,3.8965,2.85,1.5601,-1.404,24.898,32.346,21.713,2.94272,2.90615,93.409,1.985,1.9974,10.429,10.2994,98.757,96.87,False,
BAT-001,57,2023-01-13T11:12:40,3.5319,4.0575,2.9061,1.5585,-1.5709,21.846,28.761,18.136,2.91217,2.89194,93.768,1.8045,1.9154,10.2854,10.214,99.305,96.4,False,
BAT-001,58,2023-01-13T16:43:46,3.5932,4.139,2.9678,1.6597,-1.6438,26.067,30.662,22.24,2.9044,2.88708,100.395,1.815,1.7404,10.436,10.3738,99.404,96.24,False,
BAT-001,59,2023-01-13T21:41:15,3.5374,3.9136,2.9548,1.6423,-1.3697,26.885,31.103,24.588,2.91776,2.88979,99.251,1.8886,2.1901,10.3212,10.2223,99.042,96.33,False,
BAT-001,60,2023-01-14T02:41:00,3.5498,3.9088,2.9035,1.7797,-1.5263,23.062,26.616,20.305,2.91767,2.89779,96.114,1.63,1.9489,10.3571,10.2866,99.319,96.59,False,
BAT-001,61,2023-01-14T08:04:38,3.6199,3.9975,3.009,1.5764,-1.2485,23.359,29.443,19.732,2.93433,2.89141,94.505,1.8144,2.2588,10.6221,10.4667,98.537,96.38,False,
BAT-001,62,2023-01-14T12:53:28,3.5052,3.9361,2.85,1.6862,-1.3034,24.997,28.6,20.308,2.92787,2.89646,95.277,1.6757,2.1699,10.2627,10.1526,98.927,96.55,False,
BAT-001,63,2023-01-14T18:30:23,3.5215,4.0418,2.85,1.4697,-1.4654,27.99,32.214,25.506,2.90684,2.88052,98.972,2.1579,2.0419,10.2366,10.1439,99.095,96.02,False,
BAT-001,64,2023-01-15T00:22:20,3.5595,3.9359,2.9844,1.7761,-1.441,28.431,32.249,24.768,2.91224,2.88368,97.309,1.6088,1.9518,10.3662,10.2645,99.019,96.12,False,
BAT-001,65,2023-01-15T04:28:40,3.5859,4.016,2.9296,1.3936,-1.6943,26.549,33.257,23.143,2.93136,2.89041,100.098,2.0465,1.7777,10.5117,10.3648,98.603,96.35,False,
BAT-001,66,2023-01-15T09:18:51,3.5764,4.0851,2.984,1.7619,-1.419,25.825,28.837,20.845,2.90049,2.87626,96.82,1.6333,1.9382,10.3732,10.2865,99.165,95.88,False,
BAT-001,67,2023-01-15T14:04:23,3.5435,3.9573,2.85,1.5305,-1.53,23.88,29.244,19.03,2.89951,2.88072,97.912,1.8971,1.8221,10.2743,10.2078,99.352,96.02,False,
BAT-001,68,2023-01-15T19:18:33,3.618,4.1,3.0075,1.7738,-1.3832,27.992,33.008,24.307,2.89749,2.88192,94.814,1.7282,2.0854,10.4831,10.4268,99.463,96.06,False,
BAT-001,69,2023-01-16T00:59:01,3.5463,3.9214,2.9779,1.6337,-1.5278,27.169,30.268,24.19,2.91709,2.884,96.649,1.7492,1.9402,10.3448,10.2275,98.866,96.13,False,
BAT-001,70,2023-01-16T06:27:50,3.5135,3.9202,2.85,1.7552,-1.3013,26.974,33.481,22.115,2.90103,2.86755,98.748,1.7215,2.1497,10.1929,10.0752,98.846,95.58,False,
BAT-001,71,2023-01-16T11:46:24,3.5917,4.0217,2.8667,1.6051,-1.422,27.274,34.543,24.307,2.92532,2.88276,99.271,1.8802,2.0252,10.5069,10.3541,98.545,96.09,False,
BAT-001,72,2023-01-16T17:07:38,3.6166,4.1622,2.9176,1.6823,-1.5813,29.748,35.03,27.027,2.88813,2.8668,97.565,1.797,1.7747,10.4452,10.368,99.261,95.56,False,
BAT-001,73,2023-01-16T21:35:08,3.6198,4.0034,3.0683,1.4681,-1.5988,28.263,31.954,23.94,2.90112,2.87496,102.689,1.9116,1.7785,10.5015,10.4068,99.098,95.83,False,
BAT-001,74,2023-01-17T03:16:25,3.57,4.1162,3.0061,1.369,-1.5954,26.203,33.627,22.213,2.88132,2.8626,102.495,2.0348,1.854,10.2863,10.2195,99.35,95.42,False,
BAT-001,75,2023-01-17T07:55:37,3.5888,4.1372,2.85,1.5582,-1.2476,26.867,34.75,23.912,2.89635,2.8662,99.362,1.8944,2.2801,10.3944,10.2862,98.959,95.54,False,
BAT-001,76,2023-01-17T12:40:42,3.6032,4.0365,2.9889,1.6744,-1.6007,24.412,31.877,21.98,2.89558,2.87108,101.236,1.8709,1.7212,10.4333,10.3451,99.154,95.7,False,
BAT-001,77,2023-01-17T17:00:03,3.4607,3.9656,2.9037,1.6261,-1.6116,26.007,29.742,21.425,2.88453,2.86825,100.753,1.9042,1.7867,9.9825,9.9262,99.436,95.61,False,
BAT-001,78,2023-01-17T22:25:14,3.5142,3.965,2.85,1.5323,-1.384,23.168,27.21,18.913,2.90072,2.875,102.99,1.8321,1.9914,10.1936,10.1033,99.113,95.83,False,
BAT-001,79,2023-01-18T03:00:30,3.6396,4.1203,2.9999,1.4965,-1.6375,28.394,35.759,25.818,2.9086,2.87062,100.371,1.9108,1.7804,10.5863,10.448,98.694,95.69,False,
BAT-001,80,2023-01-18T07:38:00,3.6286,3.9839,3.0687,1.6008,-1.4431,26.025,31.118,21.751,2.87931,2.84893,97.9,1.9318,1.9863,10.4478,10.3375,98.945,94.96,False,
BAT-001,81,2023-01-18T12:37:46,3.5585,3.9217,3.0083,1.4061,-1.6473,26.763,30.623,22.092,2.8917,2.86244,96.892,2.0986,1.7336,10.2901,10.186,98.988,95.41,False,
BAT-001,82,2023-01-18T18:21:54,3.4937,3.8865,2.9238,1.4035,-1.4114,26.86,30.534,22.279,2.88453,2.86404,105.235,2.0513,2.001,10.0776,10.006,99.29,95.47,False,
BAT-001,83,2023-01-18T23:00:00,3.5028,4.0387,2.9328,1.3537,-1.2577,22.87,26.48,18.313,2.89681,2.87482,102.691,2.275,2.3589,10.147,10.07,99.241,95.83,False,
BAT-001,84,2023-01-19T04:55:23,3.5196,3.985,2.85,1.3852,-1.6893,24.484,29.952,19.571,2.87694,2.86136,101.923,2.0917,1.6764,10.1257,10.0709,99.459,95.38,False,
BAT-001,85,2023-01-19T10:04:06,3.4994,3.9672,2.8776,1.5043,-1.4158,26.377,34.011,21.579,2.87728,2.85385,102.298,1.9293,1.9814,10.0687,9.9867,99.186,95.13,False,
BAT-001,86,2023-01-19T15:09:21,3.5586,3.9777,2.9329,1.3473,-1.283,27.789,32.734,25.145,2.89186,2.86431,101.646,2.2202,2.2895,10.2909,10.1929,99.047,95.48,False,
BAT-001,87,2023-01-19T20:33:06,3.541,3.8919,2.9833,3.806,-1.4813,44.104,47.131,39.744,2.87524,2.84403,136.424,0.7552,1.9926,10.1811,10.0706,98.915,94.8,True,resistance_spike
BAT-001,88,2023-01-20T00:21:32,3.5804,4.0377,2.85,1.7818,-1.6278,24.584,30.555,19.949,2.87785,2.85585,100.07,1.6251,1.6844,10.3039,10.2252,99.236,95.2,False,
BAT-001,89,2023-01-20T05:23:06,3.5861,4.0101,2.9526,1.3592,-1.5974,25.322,29.744,22.411,2.88421,2.85384,95.104,2.2942,1.7015,10.3431,10.2341,98.947,95.13,False,
BAT-001,90,2023-01-20T10:39:41,3.5838,4.0575,3.0258,1.5309,-1.4611,23.967,27.665,21.401,2.86821,2.83447,99.541,1.8766,1.8617,10.2791,10.1582,98.824,94.48,False,
BAT-001,91,2023-01-20T16:19:14,3.4892,4.0134,2.85,1.5145,-1.4155,27.023,32.696,22.043,2.88433,2.84706,106.228,2.0831,1.9189,10.0639,9.9339,98.708,94.9,False,
BAT-001,92,2023-01-20T21:52:53,3.6152,3.9887,3.0532,1.7174,-1.2779,25.816,33.394,22.113,2.89078,2.85078,101.084,1.6994,2.2186,10.4506,10.306,98.616,95.03,False,
BAT-001,93,2023-01-21T02:23:38,3.5075,3.8764,2.85,1.6539,-1.615,27.639,34.849,22.809,2.85107,2.82814,100.903,1.6705,1.803,10.0002,9.9198,99.196,94.27,False,
BAT-001,94,2023-01-21T07:11:09,3.5614,4.0027,2.9342,1.4808,-1.3958,28.283,31.67,23.944,2.88174,2.84199,105.672,1.979,2.1239,10.2631,10.1215,98.62,94.73,False,
BAT-001,95,2023-01-21T12:42:26,3.6406,4.0937,2.9033,1.7886,-1.3182,25.939,29.707,23.749,2.85343,2.83479,97.445,1.5623,2.1653,10.3881,10.3202,99.347,94.49,False,
BAT-001,96,2023-01-21T18:18:12,3.6283,4.1511,2.8885,1.474,-1.2453,29.784,34.973,24.947,2.87491,2.8429,103.541,1.9636,2.3447,10.4309,10.3148,98.887,94.76,False,
BAT-001,97,2023-01-21T23:55:21,3.593,3.9887,2.8986,1.3844,-1.6683,25.062,28.598,21.569,2.86268,2.83938,102.846,2.1255,1.7033,10.2857,10.2019,99.186,94.65,False,
BAT-001,98,2023-01-22T04:54:22,3.5459,4.0145,2.9503,1.6188,-1.2254,29.959,35.304,25.268,2.8389,2.81117,105.329,1.7911,2.1932,10.0664,9.9681,99.023,93.71,False,
BAT-001,99,2023-01-22T10:37:26,3.6019,4.0781,2.9824,1.6313,-1.5359,25.398,30.253,22.123,2.86885,2.83255,106.329,1.885,1.8453,10.3334,10.2026,98.734,94.42,False,
BAT-001,100,2023-01-22T15:57:32,3.5028,3.9782,2.85,1.7473,-1.3363,29.644,37.424,27.181,2.84126,2.82108,98.376,1.593,2.0671,9.9524,9.8817,99.29,94.04,False,
BAT-001,101,2023-01-22T20:54:47,3.5081,3.9538,2.9286,1.4367,-1.3542,26.481,32.232,22.366,2.86714,2.83145,104.872,1.9168,2.087,10.0583,9.9331,98.755,94.38,False,
BAT-001,102,2023-01-23T02:35:24,3.603,4.0252,3.0177,1.5337,-1.396,23.369,30.128,20.428,2.85699,2.8199,100.107,1.8458,1.9454,10.2937,10.1601,98.702,94.0,False,
BAT-001,103,2023-01-23T07:32:23,3.5926,4.0422,2.914,1.7336,-1.6994,22.42,29.869,17.695,2.85949,2.83485,98.988,1.7628,1.6616,10.2731,10.1846,99.138,94.49,False,
BAT-001,104,2023-01-23T11:35:09,3.5429,4.0033,2.85,1.3543,-1.3126,27.684,34.923,22.699,2.8525,2.8249,104.869,2.2767,2.2361,10.1061,10.0083,99.032,94.16,False,
BAT-001,105,2023-01-23T17:04:12,3.6108,4.0722,3.0015,1.3849,-1.2976,25.488,33.235,22.28,2.84845,2.82674,106.867,2.2113,2.2179,10.285,10.2066,99.238,94.22,False,
BAT-001,106,2023-01-23T22:17:14,3.6258,4.1113,2.9129,1.4176,-1.3381,24.845,29.168,21.555,2.86672,2.8296,103.225,2.0523,2.0624,10.3942,10.2596,98.705,94.32,False,
BAT-001,107,2023-01-24T04:03:56,3.5063,3.9706,2.85,1.3193,-1.304,26.375,33.425,24.108,2.84955,2.82474,100.087,2.1799,2.2197,9.9914,9.9044,99.129,94.16,False,
BAT-001,108,2023-01-24T09:31:21,3.538,4.0165,2.85,1.7915,-1.4059,27.101,34.718,24.364,2.84781,2.82814,102.713,1.6842,2.0628,10.0756,10.006,99.309,94.27,False,
BAT-001,109,2023-01-24T13:54:58,3.5546,4.0638,2.85,1.7014,-1.333,26.256,30.53,23.851,2.84912,2.8293,103.202,1.828,2.1017,10.1274,10.0569,99.304,94.31,False,
BAT-001,110,2023-01-24T18:40:58,3.4975,4.0041,2.9053,1.7587,-1.6255,23.134,27.272,20.982,2.82877,2.80356,102.213,1.7373,1.6912,9.8936,9.8054,99.109,93.45,False,
BAT-001,111,2023-01-24T23:32:23,3.6109,4.0491,2.8855,1.5637,-1.5724,27.42,34.166,24.556,2.83524,2.81754,104.951,1.7545,1.745,10.2376,10.1737,99.376,93.92,False,
BAT-001,112,2023-01-25T04:17:37,3.5986,3.998,2.9013,1.639,-1.4615,24.329,31.305,19.447,2.84448,2.81401,103.927,1.8366,2.0058,10.2362,10.1266,98.929,93.8,False,
BAT-001,113,2023-01-25T10:06:44,3.6293,4.0618,2.9042,1.442,-1.5939,26.561,34.461,21.91,2.83668,2.80476,108.999,1.9577,1.8072,10.2953,10.1794,98.875,93.49,False,
BAT-001,114,2023-01-25T14:52:57,3.4575,3.9499,2.85,1.5478,-1.2276,27.67,34.996,25.578,2.85274,2.82007,102.817,1.8605,2.3995,9.8634,9.7504,98.855,94.0,False,
BAT-001,115,2023-01-25T19:43:08,3.5106,4.0165,2.9115,1.4154,-1.2136,25.033,31.583,21.126,2.83642,2.79818,103.431,2.1275,2.313,9.9576,9.8234,98.652,93.27,False,
BAT-001,116,2023-01-26T01:22:25,3.6145,4.0344,2.9488,1.3705,-1.6862,26.93,34.539,23.933,2.83773,2.80573,107.452,2.0196,1.616,10.2569,10.1413,98.872,93.52,False,
BAT-001,117,2023-01-26T05:38:39,3.4824,3.9978,2.85,1.6872,-1.5155,26.619,32.811,23.052,2.81276,2.79678,109.826,1.762,1.8358,9.7951,9.7394,99.432,93.23,False,
BAT-001,118,2023-01-26T10:15:40,3.5105,3.9098,2.85,1.4651,-1.543,25.608,28.997,21.313,2.81435,2.79563,103.097,1.9135,1.7604,9.8797,9.814,99.335,93.19,False,
BAT-001,119,2023-01-26T15:28:06,3.5257,4.0001,2.8537,1.6118,-1.2675,25.021,31.394,20.973,2.82249,2.80023,103.86,1.6831,2.1974,9.9514,9.8729,99.211,93.34,False,
BAT-001,120,2023-01-26T20:27:45,3.5919,4.094,2.9474,1.5496,-1.5099,27.245,32.704,23.659,2.81424,2.79406,103.108,1.8893,1.8945,10.1085,10.036,99.283,93.14,False,
BAT-001,121,2023-01-27T00:51:14,3.5667,4.1091,2.9265,1.3904,-1.3085,24.327,27.33,21.032,2.83068,2.80316,103.071,2.1689,2.1924,10.0961,9.9979,99.028,93.44,False,
BAT-001,122,2023-01-27T05:45:48,3.4976,3.9128,2.85,1.5061,-1.5798,23.949,31.478,20.448,2.8167,2.79839,104.248,1.9888,1.8333,9.8516,9.7876,99.35,93.28,False,
BAT-001,123,2023-01-27T11:35:01,3.5101,4.0588,2.85,1.5634,-1.5195,23.683,31.348,21.072,2.80574,2.78384,105.766,1.8472,1.893,9.8485,9.7716,99.219,92.79,False,
BAT-001,124,2023-01-27T16:16:44,3.6307,4.0345,3.0165,1.5736,-1.4804,26.992,33.175,23.767,2.8468,2.80513,103.72,1.9219,1.8633,10.3359,10.1846,98.536,93.5,False,
BAT-001,125,2023-01-27T21:03:36,3.5261,4.028,2.8653,1.3106,-1.3582,25.913,32.192,23.088,2.81621,2.79695,102.293,2.0623,1.9677,9.9302,9.8623,99.316,93.23,False,
BAT-001,126,2023-01-28T02:27:45,3.5802,4.0188,3.0159,1.7014,-1.6465,27.126,31.019,22.414,2.83182,2.79413,107.146,1.7184,1.6376,10.1385,10.0036,98.669,93.14,False,
BAT-001,127,2023-01-28T06:37:22,3.6126,4.0227,2.9672,1.4798,-1.3122,27.992,32.753,23.858,2.82377,2.78961,103.302,1.818,2.113,10.2012,10.0777,98.79,92.99,False,
BAT-001,128,2023-01-28T12:01:11,3.6015,4.0465,2.9308,1.4228,-1.2213,26.048,31.322,22.806,2.81976,2.78422,102.511,1.9353,2.3537,10.1553,10.0273,98.739,92.81,False,
BAT-001,129,2023-01-28T18:11:50,3.6147,3.9671,2.9121,1.7851,-1.653,25.764,31.516,23.53,2.83995,2.79992,106.214,1.7142,1.7132,10.2656,10.1209,98.591,93.33,False,
BAT-001,130,2023-01-28T23:02:48,3.585,4.0809,2.8652,1.5362,-1.4549,25.161,33.009,20.962,2.8149,2.78505,105.871,1.8421,1.852,10.0913,9.9843,98.94,92.83,False,
BAT-001,131,2023-01-29T03:34:13,3.5224,3.9481,2.85,1.4208,-1.5093,25.053,29.343,20.974,2.82555,2.78537,110.023,2.1837,1.781,9.9529,9.8113,98.578,92.85,False,
BAT-001,132,2023-01-29T08:10:03,3.552,3.959,2.935,1.7228,-1.46,25.443,30.675,20.584,2.80457,2.78121,104.736,1.7054,1.8317,9.9618,9.8789,99.167,92.71,False,
BAT-001,133,2023-01-29T13:31:56,3.5921,3.9994,3.0141,1.5205,-1.4072,26.641,31.039,24.545,2.79858,2.78074,106.448,1.9181,1.9512,10.0527,9.9886,99.362,92.69,False,
